offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
8893938462308552961	2017-04-08T00:00:00+03:00	2018-02-08T00:00:00+03:00	4000000.0	5	False	3	False	58.6	5.5	44.3		0.0	1	2	Россия, Санкт-Петербург, улица Стойкости, 19к3	132296357019474662
3957482189230484737	2014-11-27T00:00:00+03:00	2017-04-08T00:00:00+03:00	3699000.0	4	False	2	False	57.3	8.5	29.6		3.0	1	2	Россия, Ленинградская область, Кировский район, Отрадное, Железнодорожная улица, 22	8374278733780793494
5617079166739463391	2018-07-10T00:00:00+03:00	2018-08-20T00:00:00+03:00	3170063.0	2	False	0	True	28.4		20.46		6.0	1	2	Россия, Санкт-Петербург, Русановская улица, 15к1	6563554046625812320
5152292968858839090	2018-05-11T00:00:00+03:00	2018-06-18T00:00:00+03:00	2650000.0	4	False	1	False	35.0	7.0	18.0			1	2	Россия, Санкт-Петербург, Колпино, Пролетарская улица, 60к2	31044012126240184
4579399118248529153	2018-05-06T00:00:00+03:00	2018-06-05T00:00:00+03:00	21000.0	5	False	2	False	46.0					2	2	Россия, Санкт-Петербург, улица Пионерстроя, 15к3	1091404970448884920
2329983549551661824	2017-09-19T00:00:00+03:00	2018-07-12T00:00:00+03:00	80000.0	3	False	3	False	107.0	10.0		100.0		2	2	Россия, Санкт-Петербург, Невский проспект, 79	5857261474356074228
2094152579265600257	2014-11-27T00:00:00+03:00	2016-10-16T00:00:00+03:00	7990000.0	21	False	2	False	68.0	14.0	33.0		10.0	1	2	Россия, Санкт-Петербург, проспект Космонавтов, 61к1	9137473764455420750
6592484786091547136	2018-07-25T00:00:00+03:00	2018-08-20T00:00:00+03:00	32000.0	4	False	2	False	55.0	6.0	29.0		10.0	2	2	Россия, Санкт-Петербург, Днепропетровская улица, 3	2681650905466507284
4158990695280113409	2018-03-25T00:00:00+03:00	2018-04-04T00:00:00+03:00	5000000.0	3	False	2	False	67.0	18.5	30.7		11.0	1	2	Россия, Ленинградская область, Всеволожск, микрорайон Южный, улица Доктора Сотникова, 29	2624586177104353997
1896730477107087650	2017-07-14T00:00:00+03:00	2017-07-25T00:00:00+03:00	55000.0	4	False	1	False	50.0	16.0	18.0	100.0	0.0	2	2	Россия, Санкт-Петербург, Московский проспект, 139к2	3227384754916454062
8310251268892962310	2018-01-01T00:00:00+03:00	2018-03-26T00:00:00+03:00	10444000.0	5	False	1	False	56.2	19.25	18.98	2.4		1	2	Россия, Санкт-Петербург, Смольный проспект, 17	8940290802509467669
